model,accuracy,precision,recall,f1_score
decision_tree_depth_4,0.7917652626597255,0.6579634464751958,0.44919786096256686,0.5338983050847458
decision_tree_depth_6_balanced,0.7368670137245622,0.5028248587570622,0.7932263814616756,0.6154910096818811
tuned_decision_tree,0.7486985328916232,0.5182926829268293,0.7575757575757576,0.6154960173787111
