rank_test_score,mean_test_score,std_test_score,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__class_weight
79,0.597628333109139,0.02811636467149949,gini,3,30,20,balanced
79,0.597628333109139,0.02811636467149949,gini,3,20,20,balanced
79,0.597628333109139,0.02811636467149949,gini,3,20,10,balanced
79,0.597628333109139,0.02811636467149949,gini,3,20,2,balanced
79,0.597628333109139,0.02811636467149949,gini,3,10,20,balanced
79,0.597628333109139,0.02811636467149949,gini,3,30,10,balanced
79,0.597628333109139,0.02811636467149949,gini,3,5,20,balanced
79,0.597628333109139,0.02811636467149949,gini,3,10,2,balanced
79,0.597628333109139,0.02811636467149949,gini,3,5,2,balanced
79,0.597628333109139,0.02811636467149949,gini,3,5,10,balanced
79,0.597628333109139,0.02811636467149949,gini,3,30,2,balanced
91,0.5973654924292402,0.014364224418603825,gini,6,20,20,balanced
91,0.5973654924292402,0.014364224418603825,gini,6,20,10,balanced
91,0.5973654924292402,0.014364224418603825,gini,6,20,2,balanced
94,0.5972477179268244,0.018065104848443463,entropy,6,10,10,balanced
94,0.5972477179268244,0.018065104848443463,entropy,6,10,20,balanced
94,0.5972477179268244,0.018065104848443463,entropy,6,10,2,balanced
97,0.5967089823788025,0.02282852477538856,entropy,5,20,2,balanced
97,0.5967089823788025,0.02282852477538856,entropy,5,20,10,balanced
97,0.5967089823788025,0.02282852477538856,entropy,5,20,20,balanced
100,0.5957697075451706,0.022131095965876074,entropy,5,30,2,balanced
100,0.5957697075451706,0.022131095965876074,entropy,5,30,10,balanced
100,0.5957697075451706,0.022131095965876074,entropy,5,30,20,balanced
103,0.5951190473865673,0.008414876382422921,gini,6,10,2,balanced
103,0.5951190473865673,0.008414876382422921,gini,6,10,10,balanced
103,0.5951190473865673,0.008414876382422921,gini,6,10,20,balanced
106,0.5949827024881291,0.01837469744930312,gini,8,20,20,balanced
106,0.5949827024881291,0.01837469744930312,gini,8,20,10,balanced
106,0.5949827024881291,0.01837469744930312,gini,8,20,2,balanced
109,0.5921541926316969,0.016900425881910357,entropy,,20,10,balanced
109,0.5921541926316969,0.016900425881910357,entropy,,20,20,balanced
109,0.5921541926316969,0.016900425881910357,entropy,,20,2,balanced
112,0.5904654782381872,0.013684988239338128,gini,8,10,20,balanced
112,0.5904654782381872,0.013684988239338128,gini,8,10,2,balanced
112,0.5904654782381872,0.013684988239338128,gini,8,10,10,balanced
115,0.5904513338787069,0.019801371604959147,entropy,6,5,2,balanced
115,0.5904513338787069,0.019801371604959147,entropy,6,5,10,balanced
117,0.5902832118505054,0.019952425688902146,entropy,6,5,20,balanced
118,0.5891901880662178,0.009614687743802239,gini,6,5,20,balanced
119,0.5886482768874886,0.010040357554712406,gini,6,5,10,balanced
119,0.5886482768874886,0.010040357554712406,gini,6,5,2,balanced
121,0.5870485183464984,0.011521096940990466,gini,,20,20,balanced
